window_idx,start_time_s,end_time_s,mean_conn_strength,pos_ratio,neg_ratio,conn_std
0,0.0,60.0,0.9923819289691941,100.0,0.0,0.010713836996757632
1,20.0,80.0,0.3753320609330085,84.97751124437781,15.022488755622188,0.29475354406291543
2,40.0,100.0,0.41382715243754564,90.92953523238381,9.070464767616192,0.263427343710341
3,60.0,120.0,0.547555344437255,96.44677661169415,3.553223388305847,0.24062724255382834
4,80.0,140.0,0.4009789621428819,90.97451274362818,9.025487256371814,0.25798420806644856
5,100.0,160.0,0.36298691976530045,85.15742128935531,14.842578710644677,0.2846843745822754
6,120.0,180.0,0.4356044848368583,68.36581709145428,31.63418290854573,0.4599043910036292
7,140.0,200.0,0.42811824134601184,66.59670164917542,33.40329835082459,0.46029179940781273
8,160.0,220.0,0.4061878590883436,64.46776611694153,35.532233883058474,0.43890033448029186
9,180.0,240.0,0.30837635444211786,71.72413793103448,28.27586206896552,0.3226269323882601
10,200.0,260.0,0.3229887750635881,77.16641679160419,22.8335832083958,0.3061078795698095
11,220.0,280.0,0.3246292085695295,77.12143928035982,22.878560719640177,0.30504713425524876
12,240.0,300.0,0.28449131400297106,73.46326836581709,26.536731634182907,0.2886097916224301
13,260.0,320.0,0.2954061272075358,71.97901049475263,28.02098950524738,0.3029306433264989
14,280.0,340.0,0.35834875365319474,81.42428785607197,18.575712143928037,0.3108156447704738
15,300.0,360.0,0.36469649424609507,83.88305847076461,16.116941529235383,0.29504478864658146
16,320.0,380.0,0.36558594426779256,85.952023988006,14.047976011994004,0.2846583015769929
17,340.0,400.0,0.4025817304458693,90.73463268365816,9.265367316341829,0.2662258525480999
